ParcelId,OldLand,OldBuilding,OldTotal,NewLand,NewBuilding,NewTotal,NBHD
R72 00000 8000,0,184102170,184102170,0,0,0,99999999
R72 00000 8001,0,30219140,30219140,0,0,0,99999999
R72 00000 8103,0,0,0,0,0,0,99999999
R72 00000 8200,0,0,0,0,0,0,99999999
R72 00000 8202,0,0,0,0,0,0,99999999
R72 00000 8203,0,0,0,0,0,0,99999999
R72 00000 8236,0,0,0,0,0,0,99999999
R72 00000 8244,0,0,0,0,0,0,99999999
R72 00000 8247,0,0,0,0,0,0,99999999
R72 00000 8254,0,0,0,0,0,0,99999999
R72 00000 8262,53910,0,53910,53910,0,53910,99999999
R72 00000 8712,!,!,!
R72 00000 8713,!,!,!
R72 00000 8740,0,7140,7140,0,0,0,99999999
R72 00000 8880,282430,0,282430,282430,0,282430,99999999
R72 00000 9010,!,!,!
R72 00101 0001,220,0,220,220,0,220,C1500000
R72 00101 0002,220,0,220,220,0,220,C1500000
R72 00101 0003,220,0,220,220,0,220,C1500000
R72 00102 0006,!,!,!
R72 00102 0007,!,!,!
R72 00102 0008,!,!,!
R72 00102 0009,!,!,!
R72 00102 0010,!,!,!
R72 00102 0011,!,!,!
R72 00102 0012,!,!,!
R72 00102 0013,!,!,!
R72 00102 0014,!,!,!
R72 00102 0015,!,!,!
R72 00102 0016,!,!,!
R72 00102 0017,!,!,!
R72 00102 0018,!,!,!
R72 00102 0019,220,0,220,220,0,220,C1500000
R72 00102 0039,!,!,!
R72 00102 0040,!,!,!
R72 00102 0041,!,!,!
R72 00102 0042,!,!,!
R72 00103 0022,780910,63200,844110,328040,24210,352250,C1500000
R72 00103 0061,155280,12580,167860,37420,0,37420,C1500000
R72 00103 0062,!,!,!
R72 00103 0063,!,!,!
R72 00104 0005,93750,493370,587120,60000,338920,398920,C1500000
R72 00104 0006,95000,0,95000,60800,0,60800,C1500000
R72 00104 0007,95000,7060,102060,60800,9130,69930,C1500000
R72 00104 0008,145000,10450,155450,92800,13500,106300,C1500000
R72 00104 0010,437500,1057220,1494720,280000,777730,1057730,C1500000
R72 00104 0021,107930,10370,118300,51040,13400,64440,C1500000
R72 00104 0036,483530,474260,957790,309430,828210,1137640,C1500000
R72 00104 0041,231250,323950,555200,148000,430590,578590,C1500000
R72 00104 0043,103800,7150,110950,77900,9240,87140,C1500000
R72 00104 0044,101060,6980,108040,75840,9020,84860,C1500000
R72 00104 0045,50650,3770,54420,38010,4870,42880,C1500000
R72 00104 0046,50650,3770,54420,13570,4870,18440,C1500000
R72 00104 0047,100730,3560,104290,53720,4600,58320,C1500000
R72 00104 0048,0,0,0,0,0,0,99999999
R72 00104 0054,18960,0,18960,10110,0,10110,C1500000
R72 00104 0055,4740,0,4740,2530,0,2530,C1500000
R72 00104 0058,17310,830,18140,9230,1080,10310,C1500000
R72 00104 0059,!,!,!
R72 00107 0001,492000,829320,1321320,240000,805940,1045940,C1500000
R72 00107 0003,884000,31580,915580,442000,40820,482820,C1500000
R72 00107 0013,500350,1109910,1610260,307910,2868690,3176600,C1500000
R72 00107 0014,630190,1683190,2313380,307410,1461110,1768520,C1500000
R72 00108 0002,1434540,56223220,57657760,573820,33790180,34364000,C1500000
R72 00108 0003,863480,3914020,4777500,460520,4036770,4497290,C1500000
R72 00108 0005,1251610,15967750,17219360,600770,13562980,14163750,C1500000
R72 00108 0008,1585150,35643710,37228860,1268120,71381910,72650030,C1500000
R72 00110 0001,1711010,20800700,22511710,1259040,22978850,24237890,C1500000
R72 00110 0002,!,!,!
R72 00110 0003,!,!,!
R72 00111 0001,28060,142330,170390,17850,197860,215710,C5000000
R72 00111 0002,36490,448570,485060,200000,399800,599800,C5000000
R72 00111 0003,43200,41000,84200,132290,13410,145700,C5000000
R72 00111 0004,6800,0,6800,6040,0,6040,C5000000
R72 00111 0005,5680,0,5680,5050,0,5050,C5000000
R72 00111 0006,40760,78280,119040,126800,30420,157220,C5000000
R72 00111 0008,!,!,!
R72 00111 0009,!,!,!
R72 00201 0001,490050,643100,1133150,3920,1662180,1666100,C1500000
R72 00201 0002,468850,0,468850,345710,0,345710,C1500000
R72 00201 0003,980210,1354760,2334970,626400,827890,1454290,C1500000
R72 00201 0010,441700,0,441700,352840,0,352840,C1500000
R72 00201 0011,321470,0,321470,196020,0,196020,C1500000
R72 00201 0012,662560,0,662560,529250,0,529250,C1500000
R72 00201 0014,87430,0,87430,69840,0,69840,C1500000
R72 00201 0015,87430,0,87430,69840,0,69840,C1500000
R72 00201 0016,261910,4314010,4575920,209210,3545620,3754830,C1500000
R72 00202 0001,215030,9630,224660,229020,16750,245770,C1500000
R72 00202 0003,464820,753770,1218590,487150,1168920,1656070,C1500000
R72 00202 0006,558560,16690,575250,467090,21300,488390,C1500000
R72 00202 0010,99450,87830,187280,83160,91990,175150,C1500000
R72 00202 0012,101480,142240,243720,59400,208840,268240,C1500000
R72 00202 0014,0,45949100,45949100,0,43835000,43835000,C1500000
R72 00202 0025,34500,0,34500,27600,0,27600,C1500000
R72 00202 0027,588060,0,588060,470450,0,470450,C1500000
R72 00202 0037,305040,228930,533970,178560,455800,634360,C1500000
R72 00202 9014,784080,0,784080,627260,0,627260,C1500000
R72 00203 0001,100000,0,100000,57750,0,57750,C1500000
R72 00203 0002,250000,0,250000,200940,0,200940,C1500000
R72 00203 0004,100000,0,100000,138000,0,138000,C1500000
R72 00203 0005,100000,0,100000,189220,0,189220,C1500000
R72 00203 0008,370400,464260,834660,218060,1877290,2095350,C1500000
R72 00203 0009,287100,252390,539490,277200,280290,557490,C1500000
R72 00203 0011,1066620,3807110,4873730,514920,4181960,4696880,C1500000
R72 00203 0013,322190,3197640,3519830,155540,3545040,3700580,C1500000
R72 00203 0015,181270,31470,212740,152460,41400,193860,C1500000
R72 00203 0018,42990,184140,227130,20970,185020,205990,C1500000
R72 00203 0019,4520,0,4520,2660,0,2660,C1500000
R72 00203 8001,0,6300000,6300000,0,2810000,2810000,C1500000
R72 00204 0001,872930,0,872930,766480,0,766480,C1500000
R72 00204 0004,441450,0,441450,42380,0,42380,C1500000
R72 00204 0005,763510,2096100,2859610,588070,2259870,2847940,C1500000
R72 00204 0009,735100,0,735100,352850,0,352850,C1500000
R72 00204 0011,3109180,1057750,4166930,1148000,1308630,2456630,C1500000
R72 00204 0015,565150,0,565150,271270,0,271270,C1500000
R72 00204 0017,582200,1538970,2121170,340800,1328700,1669500,C1500000
R72 00204 3001,0,910050,910050,0,910050,910050,C1500000
R72 00205 0001,371250,4876540,5247790,178200,3333330,3511530,C1500000
R72 00205 0003,712350,0,712350,292250,0,292250,C1500000
R72 00205 0005,0,307370,307370,0,237970,237970,C1500000
R72 00205 0008,150000,150000,300000,158780,116020,274800,C1500000
R72 00205 0011,125100,21210,146310,89940,252060,342000,C1500000
R72 00205 0012,145000,469780,614780,86870,27930,114800,C1500000
R72 00205 0013,478100,124800,602900,248360,339690,588050,C1500000
R72 00205 0021,163180,0,163180,95520,0,95520,C1500000
R72 00205 0022,2029580,1532420,3562000,1228390,7860970,9089360,C1500000
R72 00205 0035,157730,477290,635020,92860,61580,154440,C1500000
R72 00205 9005,980100,1150870,2130970,470450,1095000,1565450,C1500000
R72 00206 0015,145550,199040,344590,71000,269350,340350,C1500000
R72 00206 0023,185030,7100,192130,141830,9170,151000,C1500000
R72 00206 0026,137630,8680,146310,189900,5380,195280,C1500000
R72 00206 0027,100450,183110,283560,49000,194420,243420,C1500000
R72 00206 0028,70320,4380,74700,49000,5670,54670,C1500000
R72 00206 0029,159300,9520,168820,111010,12310,123320,C1500000
R72 00206 0030,630,330,960,770,420,1190,C1500000
R72 00206 0031,140420,267440,407860,76110,443290,519400,C1500000
R72 00206 0032,157080,202380,359460,85140,257210,342350,C1500000
R72 00206 0034,26120,17790,43910,12740,26030,38770,C1500000
R72 00206 0036,123660,501230,624890,60320,1213370,1273690,C1500000
R72 00206 0041,59180,54070,113250,28870,72260,101130,C1500000
R72 00206 0046,!,!,!
R72 00207 0001,87510,223180,310690,42690,196970,239660,C1500000
R72 00207 0005,55250,3810,59060,38500,4930,43430,C1500000
R72 00207 0043,39110,2540,41650,19080,33620,52700,C1500000
R72 00207 0055,79380,94390,173770,55320,91620,146940,C1500000
R72 00207 0058,73620,5810,79430,51300,7240,58540,C1500000
R72 00207 0059,45410,0,45410,40800,0,40800,3100LITE
R72 00207 0060,38020,0,38020,31300,0,31300,3100LITE
R72 00207 0061,45410,0,45410,40800,0,40800,3100LITE
R72 00207 0062,39070,0,39070,35640,0,35640,3100LITE
R72 00207 0063,44350,0,44350,39940,218540,258480,3100LITE
R72 00207 0064,30400,0,30400,31300,0,31300,3100LITE
R72 00207 0065,44350,0,44350,39940,0,39940,3100LITE
R72 00207 0066,38020,0,38020,31300,0,31300,3100LITE
R72 00207 0067,45410,0,45410,40800,0,40800,3100LITE
R72 00207 0068,0,0,0,0,0,0,99999999
R72 00207 0069,!,!,!
R72 00207 0070,!,!,!
R72 00207 0071,!,!,!
R72 00207 0072,!,!,!
R72 00207 0073,!,!,!
R72 00207 0074,!,!,!
R72 00207 0075,!,!,!
R72 00207 0076,!,!,!
R72 00207 0077,!,!,!
R72 00207 0078,!,!,!
R72 00207 0079,!,!,!
R72 00207 0080,!,!,!
R72 00207 0081,!,!,!
R72 00207 0082,!,!,!
R72 00207 0083,!,!,!
R72 00207 0084,!,!,!
R72 00207 0085,!,!,!
R72 00207 0086,!,!,!
R72 00207 0087,!,!,!
R72 00207 0088,!,!,!
R72 00207 0089,!,!,!
R72 00207 0090,!,!,!
R72 00207 0091,!,!,!
R72 00207 0092,!,!,!
R72 00207 0093,!,!,!
R72 00207 0094,!,!,!
R72 00207 0095,!,!,!
R72 00207 0096,!,!,!
R72 00207 0097,!,!,!
R72 00207 0098,!,!,!
R72 00207 0099,!,!,!
R72 00207 0100,!,!,!
R72 00207 0101,!,!,!
R72 00208 0001,500000,500000,1000000,257840,420600,678440,C1500000
R72 00208 0006,1175390,2779410,3954800,688030,9004770,9692800,C1500000
R72 00208 0011,728980,0,728980,426720,892630,1319350,C1500000
R72 00208 0014,439970,0,439970,257540,0,257540,C1500000
R72 00208 0018,43050,0,43050,25200,0,25200,C1500000
R72 00208 0023,835810,19690,855500,611570,25270,636840,C1500000
R72 00208 0026,1770460,2429540,4200000,849820,1190250,2040070,C1500000
R72 00208 0034,438500,745840,1184340,256680,545140,801820,C1500000
R72 00208 0056,368610,9100,377710,269710,4120,273830,C1500000
R72 00209 0001,68170,1880,70050,129970,2030,132000,C1500000
R72 00209 0003,69990,2100,72090,56900,5440,62340,C1500000
R72 00209 0004,29400,36790,66190,14340,41100,55440,C1500000
R72 00209 0005,53920,59700,113620,26300,68620,94920,C1500000
R72 00209 0007,160290,575910,736200,78190,275530,353720,C1500000
R72 00209 0008,76080,2280,78360,61850,2950,64800,C1500000
R72 00209 0009,404850,10780,415630,329150,27860,357010,C1500000
R72 00209 0012,121750,3620,125370,98990,9350,108340,C1500000
R72 00209 0013,79700,2450,82150,64800,6340,71140,C1500000
R72 00209 0015,66440,2100,68540,54010,5440,59450,C1500000
R72 00209 0017,49150,1350,50500,39960,3480,43440,C1500000
R72 00209 0018,47950,1350,49300,38990,3480,42470,C1500000
R72 00209 0019,53240,1440,54680,43290,3710,47000,C1500000
R72 00209 0020,65860,4820,70680,97970,7570,105540,C1500000
R72 00209 0022,81780,6550,88330,108800,8350,117150,C1500000
R72 00209 0024,24660,2140,26800,32810,2600,35410,C1500000
R72 00209 0026,22430,14410,36840,10940,26370,37310,C1500000
R72 00209 0027,22320,26990,49310,10890,5740,16630,C1500000
R72 00209 0028,44830,46830,91660,21870,74930,96800,C1500000
R72 00209 0038,69660,56960,126620,33980,58020,92000,C1500000
R72 00209 0041,35260,31380,66640,17200,36740,53940,C1500000
R72 00209 0042,70010,2760,72770,48790,3430,52220,C1500000
R72 00209 0043,144910,196700,341610,83160,255020,338180,C1500000
R72 00209 0044,42440,560,43000,37640,720,38360,C1500000
R72 00209 0045,21660,2050,23710,28820,2550,31370,C1500000
R72 00209 0046,!,!,!
R72 00210 0001,525890,0,525890,0,0,0,C1500000
R72 00210 0005,!,!,!
R72 00210 0006,!,!,!
R72 00211 0001,25000,69470,94470,25000,105230,130230,31000DOW
R72 00211 0002,25000,75800,100800,25000,112320,137320,31000DOW
R72 00211 0003,25000,75800,100800,25000,112320,137320,31000DOW
R72 00211 0004,25000,71130,96130,25000,106900,131900,31000DOW
R72 00211 0005,25000,75800,100800,25000,112320,137320,31000DOW
R72 00211 0006,25000,83730,108730,25000,125440,150440,31000DOW
R72 00211 0007,25000,82160,107160,25000,116940,141940,31000DOW
R72 00211 0008,25000,77470,102470,25000,112600,137600,31000DOW
R72 00211 0009,25000,78330,103330,25000,114770,139770,31000DOW
R72 00211 0010,25000,62590,87590,25000,112600,137600,31000DOW
R72 00211 0011,25000,74990,99990,25000,109450,134450,31000DOW
R72 00211 0012,25000,77470,102470,25000,112600,137600,31000DOW
R72 00211 0013,25000,68290,93290,25000,112600,137600,31000DOW
R72 00211 0014,25000,74990,99990,25000,109450,134450,31000DOW
R72 00211 0015,25000,79990,104990,25000,116880,141880,31000DOW
R72 00211 0016,25000,80240,105240,25000,121080,146080,31000DOW
R72 00211 0017,25000,84650,109650,25000,121220,146220,31000DOW
R72 00211 0018,25000,77470,102470,25000,117600,142600,31000DOW
R72 00211 0019,25000,79990,104990,25000,116880,141880,31000DOW
R72 00211 0020,25000,77470,102470,25000,112600,137600,31000DOW
R72 00211 0021,25000,74990,99990,25000,109450,134450,31000DOW
R72 00211 0022,25000,68810,93810,25000,104230,129230,31000DOW
R72 00211 0023,25000,78280,103280,25000,115570,140570,31000DOW
R72 00211 0024,25000,78280,103280,25000,115570,140570,31000DOW
R72 00211 0025,25000,75800,100800,25000,112320,137320,31000DOW
R72 00211 0026,25000,75800,100800,25000,112320,137320,31000DOW
R72 00211 0027,25000,75800,100800,25000,112320,137320,31000DOW
R72 00211 0028,25000,75800,100800,25000,112320,137320,31000DOW
R72 00211 0029,25000,78280,103280,25000,115570,140570,31000DOW
R72 00211 0030,25000,78280,103280,25000,115570,140570,31000DOW
R72 00211 0031,25000,78280,103280,25000,115570,140570,31000DOW
R72 00211 0032,25000,75800,100800,25000,112320,137320,31000DOW
R72 00211 0033,25000,73580,98580,25000,108230,133230,31000DOW
R72 00211 0034,25000,75800,100800,25000,112320,137320,31000DOW
R72 00302 0073,120,0,120,120,0,120,C1500000
R72 00302 0078,550,0,550,550,0,550,C1500000
R72 00303 0009,80000,20000,100000,560120,165770,725890,C1500000
R72 00303 0014,82560,17440,100000,79010,22540,101550,C1500000
R72 00303 0030,288550,358000,646550,80790,31210,112000,C1500000
R72 00303 0050,66830,100200,167030,45640,291860,337500,C1500000
R72 00303 0056,125640,149680,275320,53630,63320,116950,C1500000
R72 00303 0058,600000,1000000,1600000,218730,480930,699660,C1500000
R72 00303 0066,56860,11800,68660,43150,3310,46460,C1500000
R72 00303 0081,509650,1215310,1724960,142700,696330,839030,C1500000
R72 00303 0084,142430,155360,297790,97270,174660,271930,C1500000
R72 00303 0085,387130,1046440,1433570,144530,694500,839030,C1500000
R72 00304 0001,0,0,0,0,0,0,99999999
R72 00304 0005,181160,78890,260050,104510,170320,274830,C1500000
R72 00304 0014,250,0,250,250,0,250,C1500000
R72 00304 0015,495670,20720,516390,309220,26720,335940,C1500000
R72 00304 0017,120,0,120,120,0,120,C1500000
R72 00304 0021,0,0,0,0,0,0,99999999
R72 00304 0025,205360,120710,326070,149460,101810,251270,C1500000
R72 00305 0062,120,0,120,120,0,120,C1500000
R72 00305 0063,120,0,120,120,0,120,C1500000
R72 00305 0064,120,0,120,120,0,120,C1500000
R72 00305 0072,120,0,120,120,0,120,C1500000
R72 00305 0078,120,0,120,120,0,120,C1500000
R72 00305 0079,0,0,0,0,0,0,99999999
R72 00306 0029,360240,467230,827470,224730,2415190,2639920,C1500000
R72 00306 0030,900,0,900,900,0,900,C1500000
R72 00306 0038,120,0,120,120,0,120,C1500000
R72 00306 0040,250,0,250,250,0,250,C1500000
R72 00306 0045,250,0,250,250,0,250,C1500000
R72 00306 0046,250,0,250,250,0,250,C1500000
R72 00306 0047,250,0,250,250,0,250,C1500000
R72 00306 0048,120,0,120,120,0,120,C1500000
R72 00306 0049,120,0,120,120,0,120,C1500000
R72 00306 0050,120,0,120,120,0,120,C1500000
R72 00306 0051,120,0,120,120,0,120,C1500000
R72 00306 0052,120,0,120,120,0,120,C1500000
R72 00306 0053,120,0,120,120,0,120,C1500000
R72 00306 0054,120,0,120,120,0,120,C1500000
R72 00306 0055,120,0,120,120,0,120,C1500000
R72 00306 0056,250,0,250,250,0,250,C1500000
R72 00306 0057,120,0,120,120,0,120,C1500000
R72 00307 0001,180340,0,180340,202500,0,202500,C1500000
R72 00307 0002,77740,9600,87340,44710,12260,56970,C1500000
R72 00307 0003,171960,15790,187750,79120,20400,99520,C1500000
R72 00307 0004,85060,9950,95010,48920,12850,61770,C1500000
R72 00307 0005,23850,3140,26990,13720,4060,17780,C1500000
R72 00307 0006,48070,5950,54020,27650,7690,35340,C1500000
R72 00307 0007,0,0,0,0,0,0,C1500000
R72 00307 0012,250,0,250,250,0,250,C1500000
R72 00307 0013,250,0,250,250,0,250,C1500000
R72 00307 0015,250,0,250,250,0,250,C1500000
R72 00307 0016,250,0,250,250,0,250,C1500000
R72 00307 0017,250,0,250,250,0,250,C1500000
R72 00307 0020,250,0,250,250,0,250,C1500000
R72 00307 0023,236630,123370,360000,229120,465660,694780,C1500000
R72 00307 0024,122700,152600,275300,87120,172880,260000,C1500000
R72 00308 0001,89580,88800,178380,35830,333880,369710,C1500000
R72 00308 0003,62370,0,62370,4300,0,4300,C1500000
R72 00308 0004,!,!,!
R72 00308 0005,47960,0,47960,117780,1026970,1144750,C1500000
R72 00308 0012,82000,6980,88980,80000,9020,89020,C1500000
R72 00308 0013,120950,114330,235280,118000,104760,222760,C1500000
R72 00308 0017,233060,8610,241670,113690,5440,119130,C1500000
R72 00308 0018,423600,2483560,2907160,169440,1163040,1332480,C1500000
R72 00308 0024,261640,16810,278450,331890,18110,350000,C1500000
R72 00308 0026,406410,22160,428570,264330,28460,292790,C1500000
R72 00308 0036,!,!,!
R72 00308 0040,!,!,!
R72 00308 0041,!,!,!
R72 00308 0042,!,!,!
R72 00308 0043,!,!,!
R72 00308 0050,!,!,!
R72 00308 0051,!,!,!
R72 00308 0052,!,!,!
R72 00308 0053,!,!,!
R72 00308 0054,!,!,!
R72 00308 0055,!,!,!
R72 00308 0056,!,!,!
R72 00308 0057,!,!,!
R72 00308 0058,!,!,!
R72 00308 0059,!,!,!
R72 00308 0060,!,!,!
R72 00308 0061,!,!,!
R72 00308 0062,!,!,!
R72 00309 0001,145940,97460,243400,106790,103050,209840,C1500000
R72 00309 0007,73060,3770,76830,53460,4870,58330,C1500000
R72 00309 0009,81180,3080,84260,53460,3980,57440,C1500000
R72 00309 0011,70330,3010,73340,51460,3890,55350,C1500000
R72 00309 0013,179000,8850,187850,130980,11430,142410,C1500000
R72 00309 0017,28600,45580,74180,20930,100700,121630,C1500000
R72 00309 0018,38440,103250,141690,25310,109900,135210,C1500000
R72 00309 0021,27840,0,27840,20370,0,20370,C1500000
R72 00309 0024,16400,63670,80070,16000,56290,72290,C1500000
R72 00309 0025,122060,103830,225890,65000,128450,193450,C1500000
R72 00309 0042,132730,41870,174600,79520,76620,156140,C1500000
R72 00309 0046,87070,312930,400000,264630,201360,465990,C1500000
R72 00309 0051,0,158710,158710,0,110280,110280,C1500000
R72 00309 9051,2137900,7274470,9412370,933580,6887800,7821380,C1500000
R72 00310 0001,326700,726120,1052820,261360,651990,913350,C1500000
R72 00310 0015,126060,2310,128370,106020,2990,109010,C1500000
R72 00310 0017,139180,2520,141700,117060,3260,120320,C1500000
R72 00310 0022,177350,208070,385420,105420,201060,306480,C1500000
R72 00310 0027,268260,120,268380,142860,128040,270900,C1500000
R72 00310 0029,232430,2050,234480,123780,6790,130570,C1500000
R72 00310 0030,232430,4730,237160,123780,6110,129890,C1500000
R72 00310 0039,828850,1082860,1911710,673860,3519090,4192950,C1500000
R72 00310 0044,1898680,0,1898680,829120,16384380,17213500,C1500000
R72 00310 0045,325060,647780,972840,520100,585880,1105980,C1500000
R72 00311 0001,354670,152320,506990,346020,149330,495350,C1500000
R72 00311 0018,425600,375770,801370,346020,365960,711980,C1500000
R72 00311 0021,692040,1986720,2678760,346020,976020,1322040,C1500000
R72 00311 0025,396000,25080,421080,523900,18090,541990,C1500000
R72 00311 0031,!,!,!
R72 00312 0004,0,0,0,0,0,0,99999999
R72 00312 0005,0,0,0,0,0,0,99999999
R72 00312 0006,0,0,0,0,0,0,99999999
R72 00312 0007,78720,1036880,1115600,96000,1084620,1180620,C1500000
R72 00312 0008,153340,1127420,1280760,187000,1014160,1201160,C1500000
R72 00312 0009,26400,158610,185010,32200,180510,212710,C1500000
R72 00312 0010,35340,317220,352560,43100,430760,473860,C1500000
R72 00312 0014,204180,951660,1155840,249000,1113590,1362590,C1500000
R72 00312 0017,33600,0,33600,33600,0,33600,C1500000
R72 00312 0018,267300,637370,904670,260780,517670,778450,C1500000
R72 00312 0019,!,!,!
R72 00312 0020,!,!,!
R72 00402 0001,2500,0,2500,2500,0,2500,C1500000
R72 00402 0063,2500,0,2500,2500,0,2500,C1500000
R72 00402 0064,!,!,!
R72 00402 0066,!,!,!
R72 00407 0001,1229500,38220310,39449810,613600,34046200,34659800,C1500000
R72 00407 0002,1111440,0,1111440,554680,0,554680,C1500000
R72 00407 0003,860810,0,860810,429600,0,429600,C1500000
R72 00408 0001,730730,35820,766550,429840,46290,476130,C1500000
R72 00408 0002,100610,3360,103970,78530,4350,82880,C1500000
R72 00408 0003,85240,3080,88320,73920,3980,77900,C1500000
R72 00408 0004,105480,4270,109750,91470,5520,96990,C1500000
R72 00408 0005,70310,2800,73110,60980,3620,64600,C1500000
R72 00408 0006,78720,4000,82720,87780,5160,92940,C1500000
R72 00408 0009,58000,3080,61080,64670,4480,69150,C1500000
R72 00408 0010,435540,271220,706760,379390,271640,651030,C1500000
R72 00408 0011,74260,0,74260,74260,0,74260,C1500000
R72 00408 0021,68450,3440,71890,30240,4440,34680,C1500000
R72 00408 0022,275710,449940,725650,196940,465170,662110,C1500000
R72 00408 0027,110150,6980,117130,95950,9020,104970,C1500000
R72 00410 0001,134530,86680,221210,93750,130140,223890,C1500000
R72 00410 0002,70090,3720,73810,48840,4800,53640,C1500000
R72 00410 0003,70090,3970,74060,48840,9970,58810,C1500000
R72 00410 0005,159270,8930,168200,98010,11540,109550,C1500000
R72 00410 0007,565910,1299940,1865850,348260,1218080,1566340,C1500000
R72 00410 0008,532400,20520,552920,327630,26520,354150,C1500000
R72 00410 0009,392260,2951160,3343420,241390,3295530,3536920,C1500000
R72 00410 0010,210600,7280,217880,129600,9410,139010,C1500000
R72 00410 0012,507000,17900,524900,312000,23130,335130,C1500000
R72 00410 9001,0,43400,43400,0,0,0,C1500000
R72 00411 0020,1660,0,1660,400,0,400,C1500000
R72 00411 0046,243720,238540,482260,115110,256970,372080,C1500000
R72 00411 0056,61800,63020,124820,24120,96810,120930,C1500000
R72 00411 0058,103790,94790,198580,40500,108540,149040,C1500000
R72 00411 0070,11250,0,11250,4390,0,4390,C1500000
R72 00411 0082,473750,5912040,6385790,75800,4540220,4616020,C1500000
R72 00412 0005,435520,0,435520,217760,0,217760,C1500000
R72 00412 0009,221030,754120,975150,107820,833160,940980,C1500000
R72 00412 0010,396120,37860,433980,396120,48930,445050,C1500000
R72 00412 0011,169060,0,169060,84530,0,84530,C1500000
R72 00412 0012,622320,18298710,18921030,311160,17678680,17989840,C1500000
R72 00412 0013,136000,3340,139340,68000,4320,72320,C1500000
R72 00412 0015,138720,9100,147820,69360,11760,81120,C1500000
R72 00412 0016,84320,5540,89860,42160,7150,49310,C1500000
R72 00412 0017,120340,0,120340,60170,416760,476930,C1500000
R72 00412 0025,287490,13290,300780,191660,17180,208840,C1500000
R72 00413 0008,!,!,!
R72 00414 0001,586330,27040,613370,312710,34940,347650,C1500000
R72 00414 0002,255210,10630,265840,136110,13740,149850,C1500000
R72 00414 0003,479550,570720,1050270,255760,462620,718380,C1500000
R72 00415 0001,2356500,8041320,10397820,1256800,6043470,7300270,C1500000
R72 00416 0001,79440,0,79440,63550,0,63550,C1500000
R72 00416 0002,2685630,88501430,91187060,2148500,72081100,74229600,C1500000
R72 00416 0003,0,0,0,0,0,0,C1500000
R72 00416 0004,0,0,0,0,0,0,C1500000
R72 00501 0001,778410,1014970,1793380,531590,1162910,1694500,C1500000
R72 00501 0010,743160,3986050,4729210,356180,1798030,2154210,C1500000
R72 00501 0012,0,0,0,0,0,0,99999999
R72 00501 0014,118080,220330,338410,67390,0,67390,C1500000
R72 00501 0044,44630,3500,48130,0,0,0,C1500000
R72 00501 0046,!,!,!
R72 00501 0047,!,!,!
R72 00501 0048,!,!,!
R72 00502 0001,799580,1847170,2646750,700000,1300000,2000000,C1500000
R72 00502 0008,60000,140000,200000,85980,100290,186270,C1500000
R72 00502 0014,558950,0,558950,300000,0,300000,C1500000
R72 00502 0016,788550,9533060,10321610,2730000,5470000,8200000,C1500000
R72 00502 0045,!,!,!
R72 00503 0001,59390,0,59390,51870,0,51870,C1500000
R72 00503 0003,194090,1371540,1565630,169510,1037740,1207250,C1500000
R72 00503 0005,91180,5260,96440,79630,6790,86420,C1500000
R72 00503 0007,47610,2440,50050,41580,3160,44740,C1500000
R72 00503 0010,135550,7410,142960,118380,9570,127950,C1500000
R72 00503 0011,109920,5950,115870,96000,7690,103690,C1500000
R72 00503 0013,137200,7490,144690,119830,9680,129510,C1500000
R72 00503 0014,88840,5340,94180,106450,6900,113350,C1500000
R72 00503 0015,0,43420,43420,206620,1029980,1236600,C1500000
R72 00503 0020,303940,1880800,2184740,265450,2545220,2810670,C1500000
R72 00503 0024,295920,763490,1059410,258440,1196320,1454760,C1500000
R72 00503 0026,169170,501310,670480,147740,750210,897950,C1500000
R72 00503 0030,161950,8340,170290,141440,10780,152220,C1500000
R72 00503 0031,402900,20740,423640,351880,26800,378680,C1500000
R72 00503 0034,73740,4360,78100,64400,5480,69880,C1500000
R72 00503 0035,60980,2580,63560,53260,3340,56600,C1500000
R72 00503 0036,50820,2220,53040,44380,2880,47260,C1500000
R72 00503 0037,50820,2220,53040,44380,2880,47260,C1500000
R72 00503 0042,73740,3440,77180,64400,4440,68840,C1500000
R72 00503 0043,75120,3440,78560,65600,4440,70040,C1500000
R72 00503 9015,236580,988520,1225100,0,0,0,C1500000
R72 00504 0001,1525780,5584710,7110490,666280,6969610,7635890,C1500000
R72 00504 0002,190530,3150,193680,83200,4080,87280,C1500000
R72 00504 0008,1110190,439810,1550000,591220,834570,1425790,C1500000
R72 00504 0013,161580,187000,348580,70560,385600,456160,C1500000
R72 00504 0014,383870,939600,1323470,335260,1060430,1395690,C1500000
R72 00504 0016,57540,3440,60980,53770,5550,59320,C1500000
R72 00504 0017,47340,3440,50780,44240,5550,49790,C1500000
R72 00504 0020,485160,4901190,5386350,423720,3948960,4372680,C1500000
R72 00504 0021,224440,7140,231580,196020,4530,200550,C1500000
R72 00504 0022,198960,7140,206100,196020,4530,200550,C1500000
R72 00505 0001,763280,3851540,4614820,263200,2975000,3238200,C1500000
R72 00505 0008,42610,26690,69300,22400,44590,66990,C1500000
R72 00505 0009,37060,7360,44420,29650,7220,36870,C1500000
R72 00505 0010,61190,3990,65180,48950,4020,52970,C1500000
R72 00505 0012,62300,3990,66290,49840,5150,54990,C1500000
R72 00505 0013,55190,11020,66210,24480,10760,35240,C1500000
R72 00505 0015,114800,220590,335390,114800,243100,357900,C1500000
